id,type,unit_id,title,release_date,now_available
1,U,0,Pengenalan,,False
2,U,1,Mengenal Excel,,True
3,U,2,Fungsi-Fungsi Kondisi,,True
4,U,3,Pengolahan Data,,True
5,U,4,Reporting,,True
6,U,5,Studi Kasus,,True
7,A,Fin,Ujian akhir,,True

